0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
C0000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0036720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0018533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0031678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0033554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0021081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0007090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0017178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0012240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0159065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0154251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0034530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0005804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0032045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3714514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0009450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0002438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0022568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3540713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0156084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0019247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0025517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0151747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0036502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0019693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0036277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0037868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0004611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2939130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3653918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0175624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0029812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0030286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0155936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0040147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2004435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0206754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0375026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0043251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1145628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0040701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0242172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0025118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0026584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0282636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0033975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0349231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0151773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0153325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0037354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0456388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0027720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0235639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0678262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0740858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0001975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0920296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
